PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,118900,01/07/1997 6:30:00,,2,10,11,15,18,19,20,25,32,33,39,44,52,54,56,58,65,74,76,79
KENO,118901,01/07/1997 6:35:00,,1,17,19,21,24,25,28,32,38,40,41,45,59,60,63,64,66,69,78,79
KENO,118902,01/07/1997 6:40:00,,4,7,18,22,23,27,30,31,32,34,36,39,42,45,51,60,61,63,74,79
KENO,118903,01/07/1997 6:45:00,,4,5,9,10,11,12,25,29,33,46,48,52,54,56,63,64,68,73,74,75
KENO,118904,01/07/1997 6:50:00,,9,13,16,17,25,28,30,31,35,41,46,48,50,51,55,58,59,61,67,71
KENO,118905,01/07/1997 6:55:00,,2,8,9,10,15,19,23,25,29,31,38,43,46,48,49,51,59,61,70,80
KENO,118906,01/07/1997 7:00:00,,6,8,9,19,20,22,24,27,31,33,38,40,45,47,53,57,58,70,75,78
KENO,118907,01/07/1997 7:05:00,,1,2,6,10,13,15,28,29,36,41,42,44,47,62,67,71,72,74,76,80
KENO,118908,01/07/1997 7:10:00,,2,6,10,12,14,17,18,33,40,44,45,49,52,62,64,66,67,68,73,78
KENO,118909,01/07/1997 7:15:00,,1,3,23,25,29,30,31,33,43,47,52,55,56,58,63,66,73,74,75,78
KENO,118910,01/07/1997 7:20:00,,8,9,12,19,21,38,42,47,48,52,53,56,57,59,60,63,66,72,75,80
KENO,118911,01/07/1997 7:25:00,,1,2,6,19,20,25,26,28,35,44,45,46,47,56,60,64,66,68,71,75
KENO,118912,01/07/1997 7:30:00,,5,8,10,15,16,19,26,28,30,40,42,51,58,60,63,65,67,69,74,80
KENO,118913,01/07/1997 7:35:00,,1,9,14,16,17,24,32,35,39,41,42,44,49,52,53,57,63,70,73,78
KENO,118914,01/07/1997 7:40:00,,1,3,8,14,18,26,27,29,33,34,40,49,50,56,61,64,69,70,73,74
KENO,118915,01/07/1997 7:45:00,,1,7,8,13,21,22,28,29,30,31,38,39,44,48,56,57,58,61,63,64
KENO,118916,01/07/1997 7:50:00,,2,8,13,17,19,21,23,33,34,41,45,51,53,57,58,59,60,70,74,79
KENO,118917,01/07/1997 7:55:00,,8,9,14,16,17,36,39,47,49,56,62,64,67,70,72,74,76,77,78,80
KENO,118918,01/07/1997 8:00:00,,3,7,13,14,18,19,25,36,45,55,56,57,61,62,65,66,71,72,77,78
KENO,118919,01/07/1997 8:05:00,,3,9,11,12,13,20,21,22,25,27,28,32,43,49,52,66,67,73,74,77
KENO,118920,01/07/1997 8:10:00,,6,9,17,26,39,42,44,46,55,56,58,65,69,72,73,75,76,77,78,79
KENO,118921,01/07/1997 8:15:00,,5,8,9,12,17,18,21,23,27,29,31,36,49,52,56,57,63,65,66,70
KENO,118922,01/07/1997 8:20:00,,1,3,12,29,30,31,32,36,41,44,54,60,61,65,67,69,70,74,75,78
KENO,118923,01/07/1997 8:25:00,,3,5,6,7,9,11,15,26,31,35,43,45,48,54,58,59,62,67,68,71
KENO,118924,01/07/1997 8:30:00,,2,3,6,13,21,23,25,26,29,30,34,35,36,38,41,49,59,62,67,77
KENO,118925,01/07/1997 8:35:00,,2,3,6,7,11,13,17,19,22,23,33,41,43,44,46,57,58,59,71,73
KENO,118926,01/07/1997 8:40:00,,2,3,4,8,15,17,19,20,26,32,33,43,49,52,56,67,68,69,76,79
KENO,118927,01/07/1997 8:45:00,,3,5,6,22,23,26,27,29,40,43,45,47,58,61,62,65,66,70,72,78
KENO,118928,01/07/1997 8:50:00,,10,11,12,14,17,20,28,33,36,40,41,50,51,54,58,61,64,68,72,80
KENO,118929,01/07/1997 8:55:00,,2,4,7,15,17,18,22,26,33,37,42,52,53,58,59,62,65,69,79,80
KENO,118930,01/07/1997 9:00:00,,2,4,5,11,12,14,16,17,28,31,33,46,51,59,61,64,68,74,76,78
KENO,118931,01/07/1997 9:05:00,,6,7,28,29,30,33,36,39,40,46,47,50,52,53,54,57,62,63,68,78
KENO,118932,01/07/1997 9:10:00,,4,9,10,11,12,14,17,24,29,31,39,42,44,47,48,57,60,66,69,79
KENO,118933,01/07/1997 9:15:00,,4,5,6,13,20,28,30,32,39,45,48,51,56,64,68,69,71,73,74,79
KENO,118934,01/07/1997 9:20:00,,1,9,15,20,23,24,25,27,30,36,43,45,48,49,57,61,62,63,69,72
KENO,118935,01/07/1997 9:25:00,,12,21,23,27,28,32,35,38,41,44,46,47,59,62,64,65,70,73,75,79
KENO,118936,01/07/1997 9:30:00,,1,2,5,6,9,15,22,23,24,27,36,40,41,43,44,50,53,58,76,80
KENO,118937,01/07/1997 9:35:00,,8,13,17,22,23,24,31,33,34,45,50,52,57,60,65,66,67,70,72,75
KENO,118938,01/07/1997 9:40:00,,3,8,12,13,17,23,28,31,36,38,39,41,44,46,56,63,65,70,75,76
KENO,118939,01/07/1997 9:45:00,,2,3,14,17,21,32,35,41,42,44,46,47,52,58,64,65,67,68,69,71
KENO,118940,01/07/1997 9:50:00,,1,3,7,8,10,12,13,16,20,25,28,31,43,44,45,52,53,56,72,77
KENO,118941,01/07/1997 9:55:00,,1,3,4,15,17,19,22,27,31,34,36,37,41,42,48,50,52,53,69,79
KENO,118942,01/07/1997 10:00:00,,7,8,10,18,19,25,32,38,41,43,47,51,56,60,64,65,66,68,70,80
KENO,118943,01/07/1997 10:05:00,,5,6,12,25,32,33,34,35,40,41,46,50,54,57,58,61,63,68,75,79
KENO,118944,01/07/1997 10:10:00,,4,9,14,15,16,26,27,28,31,40,47,49,55,65,68,70,71,72,75,76
