PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,230946,01/01/1999 6:30:00,,6,8,20,23,29,30,31,32,35,38,47,50,54,55,56,60,62,66,71,80
KENO,230947,01/01/1999 6:35:00,,4,10,24,25,28,29,30,31,34,35,36,42,46,48,60,61,64,67,71,75
KENO,230948,01/01/1999 6:40:00,,3,10,12,13,14,16,18,28,33,34,38,40,43,50,52,64,68,69,70,80
KENO,230949,01/01/1999 6:45:00,,1,6,8,9,11,12,13,18,21,22,30,42,44,52,57,60,62,63,75,78
KENO,230950,01/01/1999 6:50:00,,4,6,7,13,19,20,26,27,28,30,33,34,46,48,54,55,64,69,76,77
KENO,230951,01/01/1999 6:55:00,,3,5,9,12,14,16,21,26,36,38,39,44,45,50,53,62,63,67,68,73
KENO,230952,01/01/1999 7:00:00,,1,2,9,12,13,18,21,24,27,38,43,54,60,69,70,72,73,74,78,80
KENO,230953,01/01/1999 7:05:00,,10,11,18,21,24,25,29,33,36,46,49,50,54,56,66,69,70,76,77,78
KENO,230954,01/01/1999 7:10:00,,4,9,20,24,27,33,38,44,45,46,48,53,56,58,61,68,70,72,74,80
KENO,230955,01/01/1999 7:15:00,,2,3,6,7,9,13,22,26,27,31,36,39,40,42,54,58,69,70,72,80
KENO,230956,01/01/1999 7:20:00,,5,11,13,15,16,18,22,23,25,28,39,45,54,57,59,60,64,72,73,74
KENO,230957,01/01/1999 7:25:00,,3,9,11,17,19,21,22,29,32,34,38,46,55,62,66,67,68,77,78,80
KENO,230958,01/01/1999 7:30:00,,3,12,16,17,19,21,23,31,33,34,36,42,48,51,54,62,72,74,77,79
KENO,230959,01/01/1999 7:35:00,,1,9,11,22,23,28,32,37,38,40,43,45,48,60,62,64,68,76,78,79
KENO,230960,01/01/1999 7:40:00,,2,3,11,13,14,15,18,30,31,39,48,50,53,61,65,67,68,71,76,79
KENO,230961,01/01/1999 7:45:00,,9,17,18,24,36,41,42,48,49,53,55,59,62,67,70,71,74,77,78,79
KENO,230962,01/01/1999 7:50:00,,13,21,22,25,30,35,39,40,42,44,46,48,52,55,57,67,72,73,76,79
KENO,230963,01/01/1999 7:55:00,,5,8,13,20,24,34,36,41,43,44,46,47,51,55,58,64,70,71,72,74
