"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",591069,="01/07/2003 0:00:00",1.0,6,8,11,17,19,23,28,31,39,40,42,48,49,55,62,63,66,68,69,71
"KENO",591070,="01/07/2003 0:05:00",1.0,1,2,3,9,14,15,22,24,27,31,34,38,45,52,53,58,59,62,67,72
"KENO",591071,="01/07/2003 0:10:00",3.0,3,14,16,17,24,25,33,34,35,36,40,48,49,54,57,58,59,61,67,69
"KENO",591072,="01/07/2003 0:15:00",3.0,7,13,14,22,23,33,36,43,49,56,57,59,63,66,67,70,71,76,77,78
"KENO",591073,="01/07/2003 0:20:00",1.0,2,10,13,18,22,23,24,28,29,32,33,47,49,59,64,70,73,74,76,79
"KENO",591074,="01/07/2003 0:25:00",3.0,3,7,8,9,10,11,12,13,16,20,22,23,30,33,36,49,53,62,65,79
"KENO",591075,="01/07/2003 0:30:00",1.0,6,9,12,15,17,21,23,33,38,39,43,49,50,54,60,64,68,70,72,78
"KENO",591076,="01/07/2003 0:35:00",1.0,3,11,12,17,20,24,25,29,32,34,38,41,42,47,48,55,56,61,72,75
"KENO",591077,="01/07/2003 0:40:00",1.0,1,4,5,6,7,21,28,32,33,37,43,44,47,50,51,55,56,62,73,78
"KENO",591078,="01/07/2003 0:45:00",4.0,6,8,9,15,17,20,37,38,41,43,44,47,50,66,67,68,71,73,78,80
"KENO",591079,="01/07/2003 0:50:00",3.0,2,6,19,21,30,33,34,43,45,47,48,52,54,59,63,66,67,71,74,77
"KENO",591080,="01/07/2003 0:55:00",3.0,3,4,6,8,10,19,22,24,27,40,49,55,57,59,61,63,65,70,75,79
"KENO",591081,="01/07/2003 1:00:00",1.0,4,6,8,14,15,22,23,24,31,35,37,41,48,50,56,58,67,71,72,75
"KENO",591082,="01/07/2003 6:05:00",1.0,1,10,12,16,17,24,25,29,37,44,45,51,52,54,56,58,59,70,73,76
"KENO",591083,="01/07/2003 6:10:00",4.0,2,10,15,23,24,25,31,32,33,36,37,40,42,45,53,61,64,70,78,79
