"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2230928,="01/01/2018 0:02:00",1.5,4,10,16,19,27,30,37,39,41,42,43,44,50,53,55,58,60,64,69,74
"KENO",2230929,="01/01/2018 0:05:30",2.0,7,8,12,14,18,19,23,24,25,27,28,35,43,49,51,64,69,72,77,79
"KENO",2230930,="01/01/2018 0:09:00",5.0,3,4,14,16,17,24,28,29,34,35,37,43,49,50,62,69,75,77,78,79
"KENO",2230931,="01/01/2018 0:12:30",2.0,2,5,17,25,30,31,32,38,41,42,48,49,52,53,66,67,69,70,74,79
"KENO",2230932,="01/01/2018 0:16:00",1.5,2,3,14,15,17,26,28,30,31,33,50,55,56,59,60,64,65,66,68,78
"KENO",2230933,="01/01/2018 0:19:30",2.0,1,3,6,11,20,29,32,33,39,40,41,42,43,45,47,54,61,66,67,77
"KENO",2230934,="01/01/2018 0:23:00",1.5,3,8,11,14,15,18,21,28,36,38,39,43,46,47,50,57,61,63,70,73
"KENO",2230935,="01/01/2018 0:26:30",1.5,6,10,13,18,23,27,32,33,39,45,48,52,53,54,55,57,59,62,63,77
"KENO",2230936,="01/01/2018 0:30:00",2.0,3,13,14,15,17,18,22,24,25,26,28,29,35,38,41,48,55,68,71,73
"KENO",2230937,="01/01/2018 0:33:30",1.5,11,12,18,19,21,24,27,28,33,42,44,48,53,58,59,64,69,73,75,76
"KENO",2230938,="01/01/2018 0:37:00",2.0,12,20,26,27,28,31,35,40,41,47,52,53,55,62,67,68,70,73,78,80
"KENO",2230939,="01/01/2018 0:40:30",2.0,1,3,5,25,31,32,35,39,48,50,51,53,57,58,61,62,68,73,75,79
"KENO",2230940,="01/01/2018 0:44:00",1.5,4,8,14,17,19,23,28,32,34,39,40,44,46,48,50,64,66,68,75,80
"KENO",2230941,="01/01/2018 0:47:30",1.5,6,8,9,11,13,19,20,28,34,45,48,51,53,55,61,65,67,69,70,79
"KENO",2230942,="01/01/2018 0:51:00",2.0,2,4,17,20,35,40,44,46,49,50,51,53,62,63,65,68,69,71,74,80
"KENO",2230943,="01/01/2018 0:54:30",1.5,2,4,6,7,9,13,33,36,37,47,51,53,54,56,62,64,65,70,75,79
"KENO",2230944,="01/01/2018 0:58:00",1.5,5,6,13,19,20,21,23,30,32,33,42,48,53,56,62,64,68,72,76,78
"KENO",2230945,="01/01/2018 1:01:30",1.5,11,12,13,16,17,18,33,37,38,41,42,45,46,60,66,69,71,72,73,80
"KENO",2230946,="01/01/2018 1:05:00",1.5,6,7,8,22,24,25,27,31,33,34,47,51,52,53,57,59,60,63,73,76
"KENO",2230947,="01/01/2018 1:08:30",2.0,5,8,10,11,13,23,29,34,35,38,40,57,61,62,65,67,68,71,73,76
"KENO",2230948,="01/01/2018 1:12:00",2.0,6,9,10,18,21,30,40,41,42,47,48,54,56,61,64,66,72,75,77,78
"KENO",2230949,="01/01/2018 1:15:30",2.0,1,3,5,6,7,8,17,20,21,26,31,38,43,48,57,63,65,69,79,80
"KENO",2230950,="01/01/2018 1:19:00",5.0,1,2,6,22,24,29,38,45,48,50,54,55,56,63,65,71,72,73,76,78
"KENO",2230951,="01/01/2018 1:22:30",1.5,4,17,19,23,24,27,32,33,38,41,46,50,54,57,62,64,65,69,78,79
"KENO",2230952,="01/01/2018 1:26:00",1.5,4,12,16,20,23,24,26,28,29,43,46,49,50,59,61,64,65,71,74,79
"KENO",2230953,="01/01/2018 1:29:30",2.0,5,6,10,11,24,28,38,40,43,48,51,52,53,55,58,60,62,66,72,77
"KENO",2230954,="01/01/2018 1:33:00",1.5,4,6,18,24,25,26,27,28,31,35,37,39,42,44,52,54,55,56,57,69
"KENO",2230955,="01/01/2018 1:36:30",2.0,2,6,13,17,22,26,38,43,44,52,53,56,59,60,61,63,65,67,69,78
