"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2301800,="01/07/2018 0:02:00",1.5,2,12,31,32,35,36,44,45,46,47,49,57,58,62,63,67,73,75,77,78
"KENO",2301801,="01/07/2018 0:05:30",2.0,3,7,8,9,11,12,13,15,18,19,25,28,34,35,37,44,45,51,78,79
"KENO",2301802,="01/07/2018 0:09:00",1.5,1,3,9,15,18,21,23,29,37,40,42,43,45,46,51,53,61,66,69,73
"KENO",2301803,="01/07/2018 0:12:30",2.0,2,3,4,5,7,8,10,12,19,27,32,41,42,43,49,50,51,52,59,62
"KENO",2301804,="01/07/2018 0:16:00",1.5,2,14,17,21,23,25,26,38,41,44,45,52,55,57,60,66,72,73,76,79
"KENO",2301805,="01/07/2018 0:19:30",1.5,1,3,7,17,20,22,28,31,37,46,51,52,56,57,59,62,72,75,77,79
"KENO",2301806,="01/07/2018 0:23:00",2.0,2,5,10,13,24,29,32,34,36,39,41,49,55,62,70,71,73,74,78,80
"KENO",2301807,="01/07/2018 0:26:30",5.0,2,4,11,15,35,36,40,41,50,51,59,63,64,66,67,69,71,72,74,78
"KENO",2301808,="01/07/2018 0:30:00",2.0,3,11,12,13,18,33,40,41,49,51,53,54,60,61,69,71,72,74,77,78
"KENO",2301809,="01/07/2018 0:33:30",2.0,3,4,6,11,13,14,18,19,28,33,37,42,50,53,58,59,63,64,67,70
"KENO",2301810,="01/07/2018 0:37:00",1.5,7,8,9,22,23,28,34,36,37,43,46,54,58,59,60,64,65,73,77,80
"KENO",2301811,="01/07/2018 0:40:30",1.5,3,15,17,20,21,23,24,25,30,31,33,48,50,60,68,71,74,76,77,78
"KENO",2301812,="01/07/2018 0:44:00",1.5,7,11,15,21,25,28,29,32,37,39,40,53,61,69,70,72,75,77,78,79
"KENO",2301813,="01/07/2018 0:47:30",1.5,7,8,11,16,26,29,30,31,34,40,41,44,47,53,59,61,65,69,75,78
"KENO",2301814,="01/07/2018 0:51:00",2.0,7,9,14,17,20,21,35,36,38,39,49,51,62,63,65,68,69,70,71,77
"KENO",2301815,="01/07/2018 0:54:30",1.5,2,3,5,16,23,24,26,33,34,35,36,43,45,48,49,51,60,77,79,80
"KENO",2301816,="01/07/2018 0:58:00",2.0,7,18,20,27,32,34,39,41,42,43,45,47,50,54,56,59,60,65,69,75
"KENO",2301817,="01/07/2018 1:01:30",2.0,1,6,13,16,18,29,33,34,39,42,44,47,56,57,72,73,74,75,76,77
"KENO",2301818,="01/07/2018 1:05:00",2.0,4,9,15,22,33,41,44,49,51,52,61,62,64,66,68,71,72,74,76,78
"KENO",2301819,="01/07/2018 1:08:30",1.5,1,18,20,22,23,27,28,30,31,37,38,40,43,45,53,55,56,61,62,78
"KENO",2301820,="01/07/2018 1:12:00",1.5,7,9,16,17,18,28,33,35,37,38,51,56,58,61,67,69,70,76,78,79
"KENO",2301821,="01/07/2018 1:15:30",2.0,2,5,7,8,9,16,19,26,37,41,49,50,51,60,63,64,67,73,78,79
"KENO",2301822,="01/07/2018 1:19:00",1.5,4,5,7,15,26,27,29,38,43,44,46,49,51,55,59,60,69,76,77,78
"KENO",2301823,="01/07/2018 1:22:30",2.0,5,6,10,19,21,26,29,30,31,32,35,39,49,55,60,61,68,71,76,77
"KENO",2301824,="01/07/2018 1:26:00",1.5,6,7,10,11,17,18,19,28,42,45,46,48,49,53,54,60,62,68,70,75
"KENO",2301825,="01/07/2018 1:29:30",1.5,9,10,11,16,21,24,25,35,37,41,43,47,52,53,54,59,71,73,77,79
"KENO",2301826,="01/07/2018 1:33:00",2.0,7,17,20,21,24,27,28,31,34,35,36,41,46,52,56,68,70,71,73,77
